timestamps,TP9,AF7,AF8,TP10,Right AUX
1578401993.640,76.172,13.184,-15.625,77.148,33.203
1578401993.644,83.496,23.926,7.812,72.266,-0.977
1578401993.648,85.449,26.855,27.832,70.312,31.250
1578401993.652,81.055,14.160,27.344,73.730,56.152
1578401993.655,77.148,16.113,19.531,71.777,102.051
1578401993.659,81.055,36.621,30.273,77.637,46.387
1578401993.663,87.402,40.039,36.133,78.613,-16.602
1578401993.667,90.332,37.598,31.250,78.613,-21.973
1578401993.671,77.637,35.156,24.902,73.242,-9.277
1578401993.675,61.035,18.066,6.836,66.406,17.090
1578401993.679,63.477,12.207,7.324,65.918,81.543
1578401993.683,83.496,31.738,29.785,80.566,63.965
1578401993.687,92.773,24.414,29.297,86.914,20.020
1578401993.691,85.938,20.020,18.066,71.777,28.320
1578401993.695,82.520,30.273,30.273,73.730,44.922
1578401993.698,68.848,24.414,9.277,68.359,45.410
1578401993.702,66.895,29.785,-4.883,65.430,64.453
1578401993.706,74.219,38.574,20.996,68.359,60.547
1578401993.710,78.613,49.805,44.922,70.801,41.016
1578401993.714,78.613,40.527,39.551,69.336,94.727
